ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
124;Boa e com saúde                                                                                                                                                                                                 ;1;5;3;2;1;1;2;13;8;3,1;1,84;1,22
125;Sim me imagino famosa vou ser uma modelo kkk eu acho                                                                                                                                                            ;1;4;3;3;2;1;1;11;6;3,1;2,04;1,36
126;Ban                                                                                                                                                                                                             ;1;2;3;2;2;1;2;13;6;3,1;2,23;1,7
127;Com um emprego bom, e rico, Com uma fazenda e minha familia,                                                                                                                                                    ;1;3;3;2;2;2;2;14;9;3,1;3,06;2,07
128;Que eu tenha termido meus estudos e já tá bem de vida                                                                                                                                                         ;2;4;1;2;2;1;1;13;7;3,1;5,02;1,87
129;Rico e com um trabalho bom                                                                                                                                                                                      ;3;3;3;;1;1;2;12;7;3,11;2,11;0,95
130;ser uma medica, guidar da minha familia e ser importante e guidar das pessoas                                                                                                                                   ;1;5;3;2;1;1;;11;6;3,11;2,34;1,08
131;                                                                                                                                                                                                                ;2;2;2;1;2;1;1;14;9;3,11;2,75;1,82
132;imagino eu rico ué                                                                                                                                                                                              ;1;5;5;2;1;1;2;14;9;3,12;0,94;1,34
133;Me imagino formada com um futuro bom e muito bem de vida                                                                                                                                                        ;2;3;3;2;2;1;1;13;8;3,12;1,71;1,41
134;Com muitas Conquista,                                                                                                                                                                                           ;1;3;5;1;1;1;2;13;6;3,12;2,93;1,02
135;Eu me imagino com um emprego que eu ganhe bem e tenha uma vida agradavel para dar uma boa vida a toda minha família                                                                                             ;1;4;3;2;2;2;1;13;7;3,13;1,31;2,03
136;Eu imagino uma boua vida                                                                                                                                                                                        ;2;4;2;2;2;1;2;12;6;3,13;3,22;2,57
137;Eu me imagino me uma faculdade, com uma casa e o meu carro e vários chachorros                                                                                                                                  ;1;3;3;2;2;2;1;12;6;3,13;4,45;3,17
138;Eu imagino com um bom emprego, fora do Brasil, com a vida bem sucedida com um emprego que garanta o meu futuro sem crise,                                                                                       ;1;3;4;2;1;1;1;14;9;3,14;1,98;2,05
139;Imagino eu no cuso de artes cênicas para em breve ser atriz nem que apareça pouco                                                                                                                               ;1;3;1;2;2;2;1;14;9;3,15;4,69;3,3
140;;1;2;4;3;2;1;2;14;9;3,17;1;1
141;Ter muito dinheiro e viajar o mundo todo                                                                                                                                                                        ;1;4;3;2;2;1;1;13;8;3,17;1,76;1,46
142;Não muito bom, Do jeito que nosso país está andando, não imagino da                                                                                                                                           ;1;3;3;2;2;2;1;13;8;3,17;4;2,26
143;Sendo Veterinária, e morando em  país,                                                                                                                                                                     ;1;5;4;3;2;1;1;13;9;3,18;1,75;1,96
144;Nós estamos no futuro pois temos coisas super moders, que no seculo passado era um simples projeto para sociedade                                                                                             ;1;3;4;3;2;1;2;14;8;3,18;2,21;1,58
145;Que eu já esteja fazendo faculdade com meu próprio carro e moto,                                                                                                                                                ;1;2;3;2;2;1;1;12;7;3,19;1,82;2,55
146;Aquele clichê básico, o emprego dos meus sonhos, um apartamento baca, uma pessoa que eu ame do meu lado e quem sabe, uma filha,                                                                               ;1;3;3;3;2;1;1;14;9;3,19;2,22;2,76
