"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
226;"Uma vida normal                                                                                                                                                                                                 ";.;3;3;2;"Não2";"Não1";2;12;7;"3,45";"4,76";"1,61";208;"UMA VIDA NORMAL"
227;"Eu imagino minha vida estudando paraser médica porque é o que eu mais gosto                                                                                                                                     ";.;4;3;3;"Não1";"Não1";1;12;7;"3,46";"1,2";"1,09";208;"EU IMAGINO MINH"
228;"Morando em Orlando, muito rico e casado                                                                                                                                                                         ";.;3;3;2;"Não2";"Não2";2;11;7;"3,46";"1,22";"1,69";208;"MORANDO EM ORLA"
230;"Uma casa com um marido e dois filhos                                                                                                                                                                            ";.;4;4;2;"Não2";"Não1";1;13;7;"3,46";"2,43";"2,06";208;"UMA CASA COM UM"
231;"Casada, formada em alguma coisa, tendo minha casa e meu carro e com meus filhos,                                                                                                                                ";.;3;5;2;"Não1";"Não1";1;13;8;"3,46";"2,47";"2,36";208;"CASADA, FORMADA"
232;"Ser bombeiro te uma casa carro dinheiro                                                                                                                                                                         ";.;4;5;3;"Não1";.;1;11;6;"3,47";"0,96";"1,02";208;"SER BOMBEIRO TE"
233;"Eu imagino eu lutando no UFC,                                                                                                                                                                                   ";.;2;3;2;"Não1";"Não1";1;13;7;"3,47";"1,83";"1,25";208;"EU IMAGINO EU L"
234;"Me imagino bem de vida, com um emprego bom mais que eu tenha gosto de fazer e dá uma vida melhor pro meus pais                                                                                                  ";.;4;3;2;"Não1";"Não1";1;14;9;"3,47";"4";"2,22";208;"ME IMAGINO BEM "
235;"Um mestre pokemon                                                                                                                                                                                               ";.;3;3;2;"Não1";"Não1";2;14;7;"3,48";"1";"1,38";208;"UM MESTRE POKEM"
236;"quero um emprego digno e tenha uma família e uma boa saúde                                                                                                                                                      ";.;3;4;2;"Não2";"Não1";.;11;8;"3,48";"1,26";"1,28";208;"QUERO UM EMPREG"
